code,canonical_title,slug,summary,description,career_family_code,career_level,country_code,industry_context,uk_soc_code,onet_code,esco_uri,verification_status,review_status,reviewed_by,reviewed_at,review_notes,is_active,taxonomy_version
CPX-OCC-BOP-001,Operations Manager,operations-manager,Operational leadership and performance,Operational leadership and performance,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Operational leadership and performance,1150,11-9199.01,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-002,Business Analyst,business-analyst,Business process and requirements analysis,Business process and requirements analysis,CPX-FAM-BUSINESS_AND_OPERATIONS,practitioner,GB,Business process and requirements analysis,2133,13-1161.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-003,Process Improvement Manager,process-improvement-manager,Continuous improvement and operational excellence,Continuous improvement and operational excellence,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Continuous improvement and operational excellence,1241,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-004,Supply Chain Manager,supply-chain-manager,Supply chain planning and resilience,Supply chain planning and resilience,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Supply chain planning and resilience,3551,11-3071.04,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-005,Procurement Manager,procurement-manager,Procurement sourcing and contract management,Procurement sourcing and contract management,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Procurement sourcing and contract management,1134,11-3061.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-006,Logistics Manager,logistics-manager,Logistics networks and transport operations,Logistics networks and transport operations,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Logistics networks and transport operations,3556,11-3071.00,http://data.europa.eu/esco/occupation/56fa783a-cca4-42ef-8862-1fb6e43f215c,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-007,Quality Manager,quality-manager,Quality systems assurance and improvement,Quality systems assurance and improvement,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Quality systems assurance and improvement,2132,11-3051.01,http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-008,Compliance Manager,compliance-manager,Compliance governance controls and assurance,Compliance governance controls and assurance,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Compliance governance controls and assurance,2482,13-2054.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-009,Customer Operations Manager,customer-operations-manager,Customer service operations and performance,Customer service operations and performance,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Customer service operations and performance,1150,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-BOP-010,Service Delivery Manager,service-delivery-manager,Service operations and delivery governance,Service operations and delivery governance,CPX-FAM-BUSINESS_AND_OPERATIONS,manager,GB,Service operations and delivery governance,3221,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-001,Construction Manager,construction-manager,Construction management and site delivery,Construction management and site delivery,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,manager,GB,Construction management and site delivery,5330,,http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-002,Site Manager,site-manager,Site supervision and construction delivery,Site supervision and construction delivery,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,manager,GB,Site supervision and construction delivery,2139,11-9199.09,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-003,Quantity Surveyor,quantity-surveyor,Cost and commercial surveying,Cost and commercial surveying,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Cost and commercial surveying,3541,,http://data.europa.eu/esco/occupation/624986f9-21ef-4cdf-8cf6-8407a337ec2f,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-004,Building Surveyor,building-surveyor,Building inspection defects and compliance,Building inspection defects and compliance,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Building inspection defects and compliance,2454,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-005,Construction Planner,construction-planner,Construction programme planning,Construction programme planning,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Construction programme planning,2452,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-006,Construction Estimator,construction-estimator,Construction estimating and bid support,Construction estimating and bid support,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Construction estimating and bid support,3541,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-007,Building Services Engineer,building-services-engineer,MEP building systems design and assurance,MEP building systems design and assurance,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,MEP building systems design and assurance,2122,,http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-008,Construction Design Manager,construction-design-manager,Design coordination and buildability,Design coordination and buildability,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,manager,GB,Design coordination and buildability,2132,27-1022.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-009,Health and Safety Manager,health-and-safety-manager,Construction and workplace safety management,Construction and workplace safety management,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,manager,GB,Construction and workplace safety management,3582,19-5012.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-010,BIM Manager,bim-manager,Building information modelling governance,Building information modelling governance,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,manager,GB,Building information modelling governance,,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-011,Architect,architect,Architecture and built-environment design,Architecture and built-environment design,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Architecture and built-environment design,2133,17-3011.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-012,Town Planner,town-planner,Planning policy development and consent,Planning policy development and consent,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Planning policy development and consent,2452,19-3051.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-013,Facilities Manager,facilities-manager,Facilities services and estates operations,Facilities services and estates operations,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,manager,GB,Facilities services and estates operations,1251,11-3013.00,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-CBE-014,Clerk of Works,clerk-of-works,Construction inspection and quality assurance,Construction inspection and quality assurance,CPX-FAM-CONSTRUCTION_AND_BUILT_ENVIRONMENT,practitioner,GB,Construction inspection and quality assurance,5330,,,draft,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-001,Software Developer,software-developer,Software application development,Software application development,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Software application development,2134,15-1252.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-002,Software Engineer,software-engineer,Software engineering and delivery,Software engineering and delivery,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Software engineering and delivery,2136,,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-003,Front End Developer,front-end-developer,Client-side web and application development,Client-side web and application development,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Client-side web and application development,2134,15-1254.00,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-004,Back End Developer,back-end-developer,Server-side software and APIs,Server-side software and APIs,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Server-side software and APIs,8119,,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-005,Full Stack Developer,full-stack-developer,End-to-end web and application development,End-to-end web and application development,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,End-to-end web and application development,2134,,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-006,DevOps Engineer,devops-engineer,Platform automation and deployment operations,Platform automation and deployment operations,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Platform automation and deployment operations,2139,,,source_mapped,not_reviewed,,,,true,2026.1
CPX-OCC-DDA-007,Cloud Engineer,cloud-engineer,Cloud infrastructure and platform engineering,Cloud infrastructure and platform engineering,CPX-FAM-DIGITAL_DATA_AND_ARTIFICIAL_INTELLIGENCE,practitioner,GB,Cloud infrastructure and platform engineering,2133,15-1244.00,,source_mapped,not_reviewed,,,,true,2026.1
