cpx_code,canonical_title,career_family,career_level,principal_uk_context,expected_external_source_mappings,regulated,human_review_mandatory
CPX-OCC-ENG-001,Civil Engineer,Engineering and Infrastructure,practitioner,UK infrastructure and civil works,UK SOC 2121|ESCO civil engineer|ONET civil engineers,true,true
CPX-OCC-ENG-002,Senior Civil Engineer,Engineering and Infrastructure,senior_practitioner,UK infrastructure and civil works,UK SOC 2121|ESCO civil engineer|ONET civil engineers,true,true
CPX-OCC-ENG-003,Structural Engineer,Engineering and Infrastructure,practitioner,Buildings bridges and structural assets,UK SOC 2121|ESCO structural engineer|ONET civil engineers,true,true
CPX-OCC-ENG-004,Geotechnical Engineer,Engineering and Infrastructure,specialist,Ground engineering and earthworks,UK SOC 2121|ESCO geotechnical engineer|ONET civil engineers,true,true
CPX-OCC-ENG-005,Transportation Engineer,Engineering and Infrastructure,practitioner,Road rail and mobility infrastructure,UK SOC 2121|ESCO transport engineer|ONET transportation engineers,true,true
CPX-OCC-ENG-006,Rail Engineer,Engineering and Infrastructure,practitioner,Rail infrastructure and rolling systems,UK SOC 2121|ESCO rail engineer|ONET rail occupations,true,true
CPX-OCC-ENG-007,Highways Engineer,Engineering and Infrastructure,practitioner,Roads highways and local authority infrastructure,UK SOC 2121|ESCO road engineer|ONET civil engineers,true,true
CPX-OCC-ENG-008,Bridge Engineer,Engineering and Infrastructure,specialist,Bridge design inspection and asset management,UK SOC 2121|ESCO bridge engineer|ONET civil engineers,true,true
CPX-OCC-ENG-009,Water Engineer,Engineering and Infrastructure,practitioner,Water infrastructure and flood risk,UK SOC 2121|ESCO water engineer|ONET civil engineers,true,true
CPX-OCC-ENG-010,Drainage Engineer,Engineering and Infrastructure,practitioner,Drainage flood and surface-water systems,UK SOC 2121|ESCO drainage engineer|ONET civil engineers,true,true
CPX-OCC-ENG-011,Electrical Engineer,Engineering and Infrastructure,practitioner,Electrical engineering design and assurance,UK SOC 2123|ESCO electrical engineer|ONET electrical engineers,true,true
CPX-OCC-ENG-012,Power Systems Engineer,Engineering and Infrastructure,specialist,Power networks and electrical systems,UK SOC 2123|ESCO power engineer|ONET electrical engineers,true,true
CPX-OCC-ENG-013,Mechanical Engineer,Engineering and Infrastructure,practitioner,Mechanical systems and plant,UK SOC 2122|ESCO mechanical engineer|ONET mechanical engineers,true,true
CPX-OCC-ENG-014,Systems Engineer,Engineering and Infrastructure,practitioner,Complex engineered systems,UK SOC 2129|ESCO systems engineer|ONET systems engineers,false,true
CPX-OCC-ENG-015,Control and Instrumentation Engineer,Engineering and Infrastructure,specialist,Industrial control and instrumentation,UK SOC 2123|ESCO control engineer|ONET electrical engineers,true,true
CPX-OCC-ENG-016,Maintenance Engineer,Engineering and Infrastructure,practitioner,Maintenance engineering and reliability,UK SOC 5241|ESCO maintenance engineer|ONET maintenance engineers,false,true
CPX-OCC-ENG-017,Reliability Engineer,Engineering and Infrastructure,specialist,Asset reliability and maintenance strategy,UK SOC 2129|ESCO reliability engineer|ONET industrial engineers,false,true
CPX-OCC-ENG-018,Engineering Manager,Engineering and Infrastructure,manager,Engineering teams and technical delivery,UK SOC 2129|ESCO engineering manager|ONET architectural and engineering managers,false,true
CPX-OCC-ENG-019,Project Engineer,Engineering and Infrastructure,practitioner,Engineering delivery coordination,UK SOC 2129|ESCO project engineer|ONET engineers,false,true
CPX-OCC-ENG-020,Infrastructure Engineer,Engineering and Infrastructure,practitioner,Infrastructure systems and assets,UK SOC 2121|ESCO infrastructure engineer|ONET civil engineers,false,true
CPX-OCC-ENG-021,Asset Engineer,Engineering and Infrastructure,practitioner,Infrastructure asset management,UK SOC 2129|ESCO asset engineer|ONET industrial engineers,false,true
CPX-OCC-ENG-022,Commissioning Engineer,Engineering and Infrastructure,practitioner,Testing commissioning and handover,UK SOC 2129|ESCO commissioning engineer|ONET engineers,false,true
CPX-OCC-PPM-001,Project Manager,Project and Programme Management,manager,Cross-sector project delivery,UK SOC 2439|ESCO project manager|ONET project management specialists,false,true
CPX-OCC-PPM-002,Senior Project Manager,Project and Programme Management,senior_manager,Complex project delivery,UK SOC 2439|ESCO senior project manager|ONET project management specialists,false,true
CPX-OCC-PPM-003,Programme Manager,Project and Programme Management,senior_manager,Multi-project programme delivery,UK SOC 1139|ESCO programme manager|ONET project management specialists,false,true
